Disease,Symptom
Amyotrophic lateral sclerosis (ALS),Leg weakness
Amyotrophic lateral sclerosis (ALS),Difficulty speaking
Amyotrophic lateral sclerosis (ALS),Problems with movement
Amyotrophic lateral sclerosis (ALS),Abnormal involuntary movements
Amyotrophic lateral sclerosis (ALS),Back pain
Amyotrophic lateral sclerosis (ALS),Difficulty in swallowing
Amyotrophic lateral sclerosis (ALS),Hand or finger weakness
Amyotrophic lateral sclerosis (ALS),Leg pain
Amyotrophic lateral sclerosis (ALS),Muscle weakness
Amyotrophic lateral sclerosis (ALS),Fatigue
Amyotrophic lateral sclerosis (ALS),Leg cramps or spasms
Central retinal artery or vein occlusion,Diminished vision
Central retinal artery or vein occlusion,Blindness
Central retinal artery or vein occlusion,Spots or clouds in vision
Central retinal artery or vein occlusion,Symptoms of eye
Central retinal artery or vein occlusion,Pain in eye
Central retinal artery or vein occlusion,Foreign body sensation in eye
Central retinal artery or vein occlusion,Elbow pain
Central retinal artery or vein occlusion,Irregular heartbeat
Central retinal artery or vein occlusion,Eye deviation
Central retinal artery or vein occlusion,Double vision
Paroxysmal supraventricular tachycardia,Palpitations
Paroxysmal supraventricular tachycardia,Sharp chest pain
Paroxysmal supraventricular tachycardia,Increased heart rate
Paroxysmal supraventricular tachycardia,Irregular heartbeat
Paroxysmal supraventricular tachycardia,Shortness of breath
Paroxysmal supraventricular tachycardia,Dizziness
Paroxysmal supraventricular tachycardia,Weakness
Paroxysmal supraventricular tachycardia,Chest tightness
Paroxysmal supraventricular tachycardia,Symptoms of the face
Paroxysmal supraventricular tachycardia,Sweating
Paroxysmal supraventricular tachycardia,Bladder mass
Paroxysmal supraventricular tachycardia,Involuntary urination
Venous insufficiency,Skin lesion
Venous insufficiency,Leg swelling
Venous insufficiency,Leg pain
Venous insufficiency,Peripheral edema
Venous insufficiency,Abnormal appearing skin
Venous insufficiency,Leg cramps or spasms
Venous insufficiency,Fluid retention
Venous insufficiency,Lymphedema
Venous insufficiency,Skin on leg or foot looks infected
Venous insufficiency,Ankle swelling
Venous insufficiency,Poor circulation
Venous insufficiency,Burning chest pain
Trichomonas infection,Vaginal discharge
Trichomonas infection,Sharp abdominal pain
Trichomonas infection,Vomiting
Trichomonas infection,Pelvic pain
Trichomonas infection,Painful urination
Trichomonas infection,Nausea
Trichomonas infection,Lower abdominal pain
Trichomonas infection,Vaginal itching
Trichomonas infection,Burning abdominal pain
Trichomonas infection,Side pain
Trichomonas infection,Pain during pregnancy
Trichomonas infection,Unpredictable menstruation
Acne,Acne or pimples
Acne,Skin rash
Acne,Abnormal appearing skin
Acne,Skin moles
Acne,Skin swelling
Acne,Skin growth
Acne,Warts
Acne,Skin dryne
Acne,Too little hair
Acne,Irregular appearing scalp
Acne,Nose deformity
Acne,Long menstrual periods
Depression,Depression
Depression,Depressive or psychotic symptoms
Depression,Anxiety and nervousness
Depression,Insomnia
Depression,Abusing alcohol
Depression,Drug abuse
Depression,Delusions or hallucinations
Depression,Excessive anger
Depression,Disturbance of memory
Depression,Low self-esteem
Depression,Hostile behavior
Depression,Temper problems
Drug abuse,Drug abuse
Drug abuse,Depressive or psychotic symptoms
Drug abuse,Depression
Drug abuse,Abusing alcohol
Drug abuse,Anxiety and nervousness
Drug abuse,Delusions or hallucinations
Drug abuse,Antisocial behavior
Drug abuse,Sweating
Drug abuse,Hostile behavior
Drug abuse,Excessive anger
Drug abuse,Fears and phobias
Drug abuse,Smoking problems
Urinary tract obstruction,Retention of urine
Urinary tract obstruction,Blood in urine
Urinary tract obstruction,Side pain
Urinary tract obstruction,Frequent urination
Urinary tract obstruction,Symptoms of prostate
Urinary tract obstruction,Sharp abdominal pain
Urinary tract obstruction,Back pain
Urinary tract obstruction,Suprapubic pain
Urinary tract obstruction,Symptoms of bladder
Urinary tract obstruction,Excessive urination at night
Urinary tract obstruction,Painful urination
Urinary tract obstruction,Involuntary urination
Diabetes insipidus,Excessive appetite
Diabetes insipidus,Cough
Diabetes insipidus,Difficulty in swallowing
Diabetes insipidus,Frequent urination
Diabetes insipidus,Dizziness
Diabetes insipidus,Itchy eyelid
Diabetes insipidus,Emotional symptoms
Diabetes insipidus,Wrist weakness
Diabetes insipidus,Elbow cramps or spasms
Diabetes insipidus,Elbow weakness
Diabetes insipidus,Nailbiting
Diabetes insipidus,Hip stiffness or tightness
Iridocyclitis,Pain in eye
Iridocyclitis,Diminished vision
Iridocyclitis,Eye redness
Iridocyclitis,Headache
Iridocyclitis,Spots or clouds in vision
Iridocyclitis,Symptoms of eye
Iridocyclitis,Swollen eye
Iridocyclitis,Lacrimation
Iridocyclitis,Foreign body sensation in eye
Iridocyclitis,Itchiness of eye
Iridocyclitis,Eye burns or stings
Iridocyclitis,Cloudy eye
Varicocele of the testicles,Pain in testicles
Varicocele of the testicles,Mass in scrotum
Varicocele of the testicles,Symptoms of the scrotum and testes
Varicocele of the testicles,Groin pain
Varicocele of the testicles,Swelling of scrotum
Varicocele of the testicles,Infertility
Varicocele of the testicles,Lower abdominal pain
Varicocele of the testicles,Involuntary urination
Varicocele of the testicles,Impotence
Varicocele of the testicles,Skin growth
Varicocele of the testicles,Penis pain
Varicocele of the testicles,Pain of the anus
Irritable bowel syndrome,Sharp abdominal pain
Irritable bowel syndrome,Diarrhea
Irritable bowel syndrome,Burning abdominal pain
Irritable bowel syndrome,Constipation
Irritable bowel syndrome,Nausea
Irritable bowel syndrome,Anxiety and nervousness
Irritable bowel syndrome,Lower abdominal pain
Irritable bowel syndrome,Upper abdominal pain
Irritable bowel syndrome,Regurgitation
Irritable bowel syndrome,Insomnia
Irritable bowel syndrome,Rectal bleeding
Irritable bowel syndrome,Flatulence
Fracture of the foot,Foot or toe pain
Fracture of the foot,Ankle pain
Fracture of the foot,Foot or toe swelling
Fracture of the foot,Ankle swelling
Fracture of the foot,Foot or toe weakness
Fracture of the foot,Foot or toe stiffness or tightness
Ovarian cyst,Sharp abdominal pain
Ovarian cyst,Lower abdominal pain
Ovarian cyst,Pelvic pain
Ovarian cyst,Vomiting
Ovarian cyst,Side pain
Ovarian cyst,Nausea
Ovarian cyst,Burning abdominal pain
Ovarian cyst,Painful menstruation
Ovarian cyst,Vaginal discharge
Ovarian cyst,Skin growth
Ovarian cyst,Intermenstrual bleeding
Ovarian cyst,Cramps and spasms
Chlamydia,Penile discharge
Chlamydia,Vaginal discharge
Chlamydia,Sharp abdominal pain
Chlamydia,Painful urination
Chlamydia,Vaginal pain
Chlamydia,Vaginal itching
Chlamydia,Itching of skin
Chlamydia,Frequent urination
Chlamydia,Lower abdominal pain
Chlamydia,Pelvic pain
Chlamydia,Groin pain
Chlamydia,Penis pain
Parasitic disease,Sharp abdominal pain
Parasitic disease,Skin rash
Parasitic disease,Cough
Parasitic disease,Fever
Parasitic disease,Hand or finger swelling
Parasitic disease,Abnormal appearing skin
Parasitic disease,Coughing up sputum
Parasitic disease,Swollen lymph nodes
Parasitic disease,Retention of urine
Parasitic disease,Itching of skin
Parasitic disease,Vaginal pain
Parasitic disease,Painful sinuses
Fracture of the jaw,Facial pain
Fracture of the jaw,Peripheral edema
Fracture of the jaw,Jaw swelling
Fracture of the jaw,Mouth pain
Fracture of the jaw,Pain in eye
Fracture of the jaw,Bleeding gums
Fracture of the jaw,Swollen eye
Fracture of the jaw,Bones are painful
Fracture of the jaw,Redness in ear
Fracture of the jaw,Bleeding in mouth
Fracture of the jaw,Gum pain
Fracture of the jaw,Skin irritation
Cytomegalovirus infection,Pain in eye
Cytomegalovirus infection,Shoulder cramps or spasms
Cytomegalovirus infection,Facial pain
Cytomegalovirus infection,Ankle pain
Cytomegalovirus infection,Wrist pain
Cytomegalovirus infection,Pain during pregnancy
Cytomegalovirus infection,Excessive anger
Cytomegalovirus infection,Joint stiffness or tightness
Cytomegalovirus infection,Pain or soreness of breast
Cytomegalovirus infection,Knee lump or mass
Cytomegalovirus infection,Fatigue
Cytomegalovirus infection,Excessive urination at night
Lipoma,Skin swelling
Lipoma,Back mass or lump
Lipoma,Arm lump or mass
Lipoma,Neck mass
Lipoma,Shoulder lump or mass
Lipoma,Skin growth
Lipoma,Skin lesion
Lipoma,Abnormal appearing skin
Lipoma,Groin mass
Lipoma,Leg lump or mass
Lipoma,Lump or mass of breast
Lipoma,Bones are painful
Female genitalia infection,Vaginal pain
Female genitalia infection,Vulvar irritation
Female genitalia infection,Skin lesion
Female genitalia infection,Fever
Female genitalia infection,Vaginal discharge
Female genitalia infection,Skin growth
Female genitalia infection,Vulvar sore
Female genitalia infection,Spotting or bleeding during pregnancy
Female genitalia infection,Pelvic pain
Female genitalia infection,Mass on vulva
Female genitalia infection,Skin swelling
Female genitalia infection,Groin pain
Pulmonary hypertension,Shortness of breath
Pulmonary hypertension,Difficulty breathing
Pulmonary hypertension,Fatigue
Pulmonary hypertension,Sharp chest pain
Pulmonary hypertension,Cough
Pulmonary hypertension,Feeling ill
Pulmonary hypertension,Wheezing
Pulmonary hypertension,Peripheral edema
Pulmonary hypertension,Apnea
Pulmonary hypertension,Hurts to breath
Pulmonary hypertension,Palpitations
Pulmonary hypertension,Hemoptysis
Thyroid nodule,Difficulty in swallowing
Thyroid nodule,Fatigue
Thyroid nodule,Neck mass
Thyroid nodule,Throat feels tight
Thyroid nodule,Hoarse voice
Thyroid nodule,Neck swelling
Thyroid nodule,Lump in throat
Thyroid nodule,Sleepiness
Thyroid nodule,Weight gain
Thyroid nodule,Diminished hearing
Thyroid nodule,Abnormal movement of eyelid
Thyroid nodule,Back weakness
Broken tooth,Toothache
Broken tooth,Facial pain
Broken tooth,Gum pain
Broken tooth,Lip swelling
Broken tooth,Mouth pain
Broken tooth,Bleeding in mouth
Broken tooth,Peripheral edema
Broken tooth,Bleeding gums
Broken tooth,Difficulty eating
Broken tooth,Slurring words
Broken tooth,Dry lips
Broken tooth,Lump over jaw
Dumping syndrome,Nausea
Dumping syndrome,Vomiting
Dumping syndrome,Fatigue
Dumping syndrome,Upper abdominal pain
Dumping syndrome,Ear pain
Dumping syndrome,Headache
Dumping syndrome,Diarrhea
Dumping syndrome,Weight gain
Dumping syndrome,Vulvar sore
Dumping syndrome,Excessive growth
Dumping syndrome,Knee lump or mass
Dumping syndrome,Itchy eyelid
Lymphadenitis,Sore throat
Lymphadenitis,Fever
Lymphadenitis,Sharp abdominal pain
Lymphadenitis,Swollen lymph nodes
Lymphadenitis,Neck pain
Lymphadenitis,Neck mass
Lymphadenitis,Neck swelling
Lymphadenitis,Ear pain
Lymphadenitis,Cough
Lymphadenitis,Headache
Lymphadenitis,Vomiting
Lymphadenitis,Skin swelling
Injury to the face,Neck pain
Injury to the face,Headache
Injury to the face,Facial pain
Injury to the face,Ear pain
Injury to the face,Bleeding from ear
Injury to the face,Nosebleed
Injury to the face,Mouth pain
Injury to the face,Bleeding in mouth
Injury to the face,Neck stiffness or tightness
Injury to the face,Swollen eye
Injury to the face,Redness in or around nose
Injury to the face,Diminished hearing
Aortic valve disease,Shortness of breath
Aortic valve disease,Fatigue
Aortic valve disease,Sharp chest pain
Aortic valve disease,Difficulty breathing
Aortic valve disease,Palpitations
Aortic valve disease,Fainting
Aortic valve disease,Peripheral edema
Aortic valve disease,Lymphedema
Aortic valve disease,Increased heart rate
Aortic valve disease,Irregular heartbeat
Aortic valve disease,Leg cramps or spasms
Aortic valve disease,Groin mass
Rheumatoid arthritis,Joint pain
Rheumatoid arthritis,Knee pain
Rheumatoid arthritis,Ache all over
Rheumatoid arthritis,Hand or finger pain
Rheumatoid arthritis,Wrist pain
Rheumatoid arthritis,Peripheral edema
Rheumatoid arthritis,Hand or finger swelling
Rheumatoid arthritis,Joint swelling
Rheumatoid arthritis,Hand or finger weakness
Rheumatoid arthritis,Elbow swelling
Rheumatoid arthritis,Wrist swelling
Rheumatoid arthritis,Stiffness all over
Spermatocele,Pain in testicles
Spermatocele,Mass in scrotum
Spermatocele,Swelling of scrotum
Spermatocele,Retention of urine
Spermatocele,Groin pain
Spermatocele,Frequent urination
Spermatocele,Skin growth
Spermatocele,Impotence
Spermatocele,Leg lump or mass
Spermatocele,Muscle swelling
Spermatocele,Low back weakness
Spermatocele,Elbow weakness
Impetigo,Skin rash
Impetigo,Skin lesion
Impetigo,Fever
Impetigo,Abnormal appearing skin
Impetigo,Cough
Impetigo,Itching of skin
Impetigo,Nasal congestion
Impetigo,Skin swelling
Impetigo,Skin on head or neck looks infected
Impetigo,Peripheral edema
Impetigo,Mouth ulcer
Impetigo,Sore in nose
Anal fistula,Pain of the anus
Anal fistula,Sharp abdominal pain
Anal fistula,Blood in stool
Anal fistula,Rectal bleeding
Anal fistula,Low back cramps or spasms
Anal fistula,Lower body pain
Anal fistula,Discharge in stools
Anal fistula,Constipation
Anal fistula,Mass or swelling around the anus
Anal fistula,Incontinence of stool
Anal fistula,Mass in scrotum
Hypothermia,Depressive or psychotic symptoms
Hypothermia,Weakness
Hypothermia,Leg stiffness or tightness
Hypothermia,Skin rash
Hypothermia,Vomiting
Hypothermia,Leg swelling
Hypothermia,Loss of sensation
Hypothermia,Fainting
Hypothermia,Elbow weakness
Hypothermia,Wrist weakness
Hypothermia,Feeling hot and cold
Hypothermia,Emotional symptoms
Oppositional disorder,Depressive or psychotic symptoms
Oppositional disorder,Excessive anger
Oppositional disorder,Hostile behavior
Oppositional disorder,Restlessness
Oppositional disorder,Fainting
Oppositional disorder,Temper problems
Oppositional disorder,Antisocial behavior
Oppositional disorder,Obsessions and compulsions
Oppositional disorder,Nightmares
Oppositional disorder,Low self-esteem
Oppositional disorder,Low urine output
Migraine,Headache
Migraine,Nausea
Migraine,Vomiting
Migraine,Dizziness
Migraine,Diminished vision
Migraine,Disturbance of memory
Migraine,Spots or clouds in vision
Migraine,Symptoms of the face
Migraine,Blindness
Migraine,Long menstrual periods
Diabetic peripheral neuropathy,Skin lesion
Diabetic peripheral neuropathy,Foot or toe pain
Diabetic peripheral neuropathy,Loss of sensation
Diabetic peripheral neuropathy,Leg pain
Diabetic peripheral neuropathy,Paresthesia
Diabetic peripheral neuropathy,Problems with movement
Diabetic peripheral neuropathy,Foot or toe swelling
Diabetic peripheral neuropathy,Lymphedema
